Art Image,Pose Probabilities
/home/asiagray/Image-Action-Recognition/dataset_updated/training_set/drawings/01dee7c857692cce250fcc7fba309f3f.jpg,"[ 0.21682525 -0.5857108  -1.9209766  -0.92890483 -0.07015864 -1.503521
 -1.1897097  -1.4570763  -1.0417761   0.3973615   2.0618608  -2.1646845
 -0.11628182 -0.8292705   2.1414845   1.0966517  -1.1198645   2.9346316
  0.19787395 -0.5329563  -0.8698936  -1.0660892   1.3635328   0.18520328
  0.9478628   0.43842295  0.3780731   3.021422   -0.11789434 -1.2460529
  0.7997427  -0.65870893 -0.6798685  -0.06016644  0.65817356 -2.08046
  0.06644171  2.934572    0.5399022  -0.14001307]"
/home/asiagray/Image-Action-Recognition/dataset_updated/training_set/drawings/1007036943.jpg,"[ 1.0056903  -0.7072027   0.54017794  0.53802973  0.07282618  0.110736
  0.03031416  0.6343273  -0.5886379  -1.0180862   0.35822338 -1.3584279
 -1.0241897  -0.20712163 -0.6455851   0.6670823  -0.36137113  0.24332955
  0.14204897 -0.41944024 -0.38231     0.8853171   0.6090074   0.3800297
 -0.8805802  -0.5486882  -0.2345709  -0.49306384 -1.3679574   0.31989893
  0.33488366 -0.3162945  -0.49114424  0.37410325 -1.4881784  -0.50841016
  0.5585208   1.7578979   2.7634232   0.71539396]"
/home/asiagray/Image-Action-Recognition/dataset_updated/training_set/drawings/10288_mainfoto_05.jpg,"[-0.05845015 -0.27799594 -1.2710483  -1.1738433  -1.251641   -2.3500922
  0.2684269  -1.7712449  -1.7519794  -0.2885511   3.9185464  -1.4228725
 -1.2599522  -1.0582263   1.6397151   0.61466175 -1.2180092   0.61673164
 -0.5866811  -0.371807   -1.2002993  -0.9349571   0.15115611  1.268217
  0.9773814   0.65734833  3.4435716   2.0895603  -0.22831228 -1.2054902
  0.78435916 -0.8002869   0.8024781   0.04051627 -0.22814077 -1.0549731
 -0.60201424  3.0139613   0.8802512   1.1999849 ]"
/home/asiagray/Image-Action-Recognition/dataset_updated/training_set/drawings/1601_mainfoto_05.jpg,"[-0.5467606  -0.6516442  -0.9031142  -0.54323834  0.01736836 -1.2595599
 -0.27905658 -2.0646732  -1.1988994  -0.20717861  2.3287568  -2.3525178
 -1.2139368  -0.916478    1.9531462   3.54447    -1.6343488   3.3753042
  0.1545455  -0.21173033 -0.7684399  -0.99614066  0.34957045 -0.09537382
  0.8893508  -0.01784952  0.12680012  2.5604732  -0.41767594 -0.23056062
  2.7584493  -0.6813916  -0.342      -0.578237    1.3165731  -1.9910649
 -1.0243267   2.4957929  -0.67930734 -0.06509918]"
/home/asiagray/Image-Action-Recognition/dataset_updated/training_set/drawings/167176.jpg,"[-0.26849455 -0.6370334  -1.1684378  -0.86471224  0.31094474 -1.2754117
 -0.4590329  -1.0413103  -0.7879961  -0.88561964  1.6682649  -1.7416011
 -1.1918571  -1.2876455   1.1980588   1.6269847  -1.0992466   1.7167667
  0.4142158  -0.49782905 -0.80417216  0.04754287  0.41282964  2.1313741
  0.28412434 -0.556596   -0.31200704  2.7585828  -1.3396039  -0.04066059
  0.9192789  -0.03157663 -0.6965653  -0.6154752   0.2740324  -1.2743336
 -0.5598873   2.6685429   1.2289314   1.7766279 ]"
/home/asiagray/Image-Action-Recognition/dataset_updated/training_set/drawings/1677_mainfoto_05.jpg,"[ 1.1106355  -0.5489538  -0.6880174   0.1176265  -1.0935327   1.70015
 -0.07988867  1.8090034  -1.1800941  -1.1045864   0.0739487  -1.0239995
 -0.96378386  1.2576498   1.0090842  -0.56686956 -1.1437294  -0.5583881
  0.6062599  -0.4862032   0.7874398   0.34833992  0.39458925  0.91398454
 -0.54366237 -0.45897207 -0.46781316 -1.2364434  -1.8861305   0.9358131
 -0.09529123  0.34260586 -0.89834046 -0.42544153 -1.630507    1.0315248
  1.4120008   2.3646007   0.96845835 -0.10306901]"
/home/asiagray/Image-Action-Recognition/dataset_updated/training_set/drawings/2051_mainfoto_05.jpg,"[ 1.5125383   0.46842897  1.215833   -1.0190704  -1.3381962  -1.158778
 -1.6176625  -1.0651608   1.5164738  -2.2612553  -0.8680452  -1.5273414
 -0.4365723  -1.9835308   0.06519175 -0.9062427  -0.11204046 -0.82320344
  3.3548095   0.2671922   0.20691875 -2.0177794  -1.5474167   7.1700473
 -1.901884   -2.014687   -1.7143077  -1.5683024  -2.7566264   3.2541723
  0.88182634  3.3945496  -1.51825     1.9603653  -1.9154867  -1.6835891
  2.6817358   1.620291    0.7405903   3.4444623 ]"
/home/asiagray/Image-Action-Recognition/dataset_updated/training_set/drawings/2200_mainfoto_05.jpg,"[ 0.7266672  -0.98313874 -0.22490756 -0.82839423 -0.8889635   0.00577689
 -0.92548716 -0.2646849   0.05827653 -1.3910167   1.8451725  -0.3544942
 -0.15654452 -1.5455729  -0.26501447  0.5285693  -0.5765746   0.66023254
  1.1134319   0.98541003  0.50213736  0.36455375  1.039422    1.2391553
 -0.7245851  -0.7708433  -0.7927194  -0.4991584  -1.3169876   0.09181643
  0.15962638  1.6763443   0.371891   -0.43455416 -1.1948278  -0.06281247
  0.8455172   1.5006626  -0.41759065  0.90421176]"
/home/asiagray/Image-Action-Recognition/dataset_updated/training_set/drawings/2206_mainfoto_05.jpg,"[ 2.72308797e-01 -9.89836991e-01 -3.49665970e-01 -1.34370255e+00
  1.73041254e-01 -2.86164165e-01  4.18564200e-01 -8.07731390e-01
 -2.88193345e-01  3.48150039e+00  1.49782753e+00 -1.34542978e+00
 -4.79869157e-01 -6.58896983e-01 -6.20688014e-02  8.69254291e-01
 -1.45732319e+00  7.28245303e-02 -7.86458850e-01  2.14180648e-01
 -1.61204958e+00 -9.97146294e-02  4.34916914e-01 -6.39650226e-01
  7.95561194e-01  8.46685410e+00 -5.39974988e-01  7.42084861e-01
  1.12274125e-01 -1.17385805e+00 -1.76669657e-03 -1.58346462e+00
  2.50144094e-01 -1.10203028e+00 -8.60775262e-02 -8.90751064e-01
 -5.98011196e-01  8.12249959e-01 -7.20375478e-01 -7.10521936e-01]"
/home/asiagray/Image-Action-Recognition/dataset_updated/training_set/drawings/2208_mainfoto_05.jpg,"[ 0.7418959  -0.7118429  -0.00707602  0.13911602 -0.13171904  0.22694173
 -0.4008666   0.5078988   0.3081586  -1.6371927   0.13249391 -1.2661155
 -1.5922108  -0.22414576  0.48758987  0.589933   -0.59648424  0.03446052
  1.1940868   0.6064251   0.62055165  0.6231486  -0.32560688  1.5873991
 -0.6448819   0.08522703 -0.99285376 -0.60695535 -1.6257583   0.9200692
  0.1511052   0.92334974 -0.96950966 -0.5917548  -1.4632363   0.03547289
  1.2230943   0.5245595   1.1981432   0.92709166]"
